clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
19,0,0,0,0,8049,34,0.0,0,-1,0.0,open
20,0,1,2,2,6999,82,0.0,0,-1,0.0,open
96,0,0,0,0,8049,35,0.5,1,77,1.0,open
103,0,1,2,2,6999,83,0.5,1,83,1.0,open
276,0,0,0,0,8049,36,0.6667,2,180,2.0,open
285,0,1,2,2,6999,84,0.6667,2,182,2.0,open
458,0,0,0,0,8049,37,0.75,3,182,3.0,open
468,0,0,0,0,8049,30,0.8,4,10,4.0,open
474,0,1,2,2,6999,79,0.75,3,189,3.0,open
480,0,0,0,0,8049,31,0.8333,5,12,5.0,open
602,0,1,2,2,6999,80,0.8,4,128,4.0,open
678,0,0,0,0,8049,32,0.8571,6,198,6.0,open
814,0,1,2,2,6999,81,0.8333,5,212,5.0,open
877,0,0,0,0,8049,33,0.875,7,199,7.0,open
1245,0,0,3,3,4948,70,0.0,0,-1,0.0,closed
1246,0,1,3,3,2521,38,0.0,0,-1,0.0,open
1273,0,1,3,3,2521,31,0.5,1,27,1.0,open
1315,0,1,3,3,2521,32,0.6667,2,42,2.0,open
1392,0,1,3,3,2521,33,0.75,3,77,3.0,open
1470,0,1,3,3,2521,34,0.8,4,78,4.0,open
1548,0,1,3,3,2521,35,0.8333,5,78,5.0,closed
1678,0,0,3,2,5360,62,0.0,0,-1,0.0,open
1679,0,1,2,2,6999,85,0.8571,6,865,6.0,open
1683,0,0,1,2,4054,40,0.0,0,-1,0.0,closed
1684,0,1,3,0,5735,50,0.0,0,-1,0.0,open
1685,0,1,2,2,6999,86,0.875,7,6,7.0,open
1687,0,0,2,2,6960,55,0.0,0,-1,0.0,open
1691,0,1,2,2,6999,87,0.8889,8,6,8.0,open
1692,0,0,1,1,487,96,0.0,0,-1,0.0,open
1704,0,0,0,3,5504,15,0.0,0,-1,0.0,closed
1713,0,0,2,2,6960,54,0.5,1,26,1.0,open
1717,0,0,1,1,487,95,0.5,1,25,1.0,closed
1725,0,0,2,2,6960,53,0.6667,2,12,2.0,open
1729,0,0,0,0,8049,4,0.8889,8,852,8.0,closed
1733,0,0,2,2,6960,52,0.75,3,8,3.0,closed
1735,0,0,1,1,352,98,0.3333,0,-1,0.5,closed
1740,0,1,1,3,4909,23,0.0,0,-1,0.0,closed
1743,0,1,2,2,6999,90,0.9,9,52,9.0,open
1747,0,1,3,0,5735,48,0.5,1,63,1.0,closed
1752,0,1,2,2,6999,91,0.9091,10,9,10.0,open
1757,0,1,3,0,7694,28,0.3333,0,-1,0.5,closed
1762,0,0,3,2,5360,60,0.5,1,84,1.0,open
1773,0,1,3,0,5735,49,0.25,0,-1,0.3333,closed
1778,0,1,2,2,6999,92,0.9167,11,26,11.0,open
1779,0,1,1,3,5372,62,0.0,0,-1,0.0,closed
1784,0,1,2,2,6999,93,0.9231,12,6,12.0,open
1790,0,0,1,1,612,108,0.25,0,-1,0.3333,open
1793,0,1,2,2,6999,95,0.9286,13,9,13.0,open
1799,0,0,3,2,5360,61,0.6667,2,37,2.0,closed
1829,0,0,1,1,612,109,0.4,1,39,0.6667,open
1830,0,0,0,1,6263,100,0.0,0,-1,0.0,open
1832,0,1,2,3,7962,18,0.0,0,-1,0.0,closed
1835,0,0,1,1,612,107,0.5,2,6,1.0,open
1884,0,0,0,3,2906,4,0.0,0,-1,0.0,open
1885,0,0,0,0,5766,43,0.8,0,-1,4.0,open
1886,0,1,2,2,6999,94,0.9333,14,93,14.0,open
1887,0,1,3,0,4200,111,0.2,0,-1,0.25,open
1892,0,0,1,1,612,110,0.5714,3,57,1.3333,open
1897,0,0,0,1,6263,101,0.5,1,67,1.0,closed
1901,0,0,1,1,612,113,0.625,4,9,1.6667,open
1907,0,0,1,1,612,111,0.6667,5,6,2.0,open
1913,0,0,1,1,612,112,0.7,6,6,2.3333,closed
1935,0,1,3,0,4200,112,0.3333,1,48,0.5,closed
1976,0,0,0,3,2906,5,0.3333,1,92,0.5,closed
1977,0,1,1,1,5336,97,0.0,0,-1,0.0,open
1979,0,0,2,3,4357,46,0.0,0,-1,0.0,closed
