clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
338414,0,1,1,1,7610,38,0.4059,1,38,0.6832,closed
338519,0,1,2,2,2283,5,0.5696,1,152,1.3237,closed
338705,0,1,3,0,968,31,0.6759,1,572,2.0855,open
338713,0,1,2,3,7151,54,0.7885,0,-1,3.7273,open
338722,0,1,3,3,3968,89,0.7938,0,-1,3.85,open
338776,0,1,3,3,3968,90,0.7959,1,54,3.9,open
338923,0,1,3,3,3968,91,0.798,2,147,3.95,open
338964,0,1,3,3,3968,92,0.8,3,41,4.0,open
339099,0,1,3,0,968,32,0.6768,2,394,2.094,open
339111,0,1,3,3,3968,93,0.802,4,147,4.05,open
339267,0,0,3,1,7287,56,0.4423,0,-1,0.7931,open
339276,0,1,3,3,3968,94,0.8039,5,165,4.1,open
339321,0,1,3,3,3968,95,0.8058,6,45,4.15,open
339425,0,0,3,1,7287,57,0.4459,1,158,0.8046,open
339501,0,1,0,0,3122,118,0.8762,0,-1,7.08,open
339502,0,1,3,0,968,33,0.6777,3,403,2.1026,open
339506,0,0,3,0,4940,91,0.7809,0,-1,3.5636,closed
339589,0,1,3,3,3968,96,0.8077,7,268,4.2,open
339730,0,1,3,2,3455,50,0.4,0,-1,0.6667,closed
339739,0,1,3,3,3968,97,0.8095,8,150,4.25,open
339914,0,1,3,0,968,34,0.6786,4,412,2.1111,open
339915,0,0,1,2,2299,69,0.6352,0,-1,1.741,closed
339919,0,1,1,1,6812,99,0.4035,0,-1,0.6765,closed
340116,0,1,1,3,3330,109,0.6536,0,-1,1.8868,closed
340126,0,0,3,0,5900,106,0.7778,0,-1,3.5,open
340164,0,0,3,0,5900,107,0.7787,1,38,3.5179,open
340306,0,1,3,0,968,35,0.6795,5,392,2.1197,open
340350,0,0,3,0,5900,108,0.7795,2,186,3.5357,open
340506,0,0,3,3,377,53,0.6609,0,-1,1.949,closed
340562,0,1,3,3,3968,98,0.8113,9,823,4.3,open
340742,0,1,3,0,968,36,0.6803,6,436,2.1282,open
340935,0,1,1,1,6686,89,0.4012,0,-1,0.6699,closed
340943,0,0,3,0,5900,115,0.7804,3,593,3.5536,open
341007,0,0,3,0,5900,116,0.7812,4,64,3.5714,open
341059,0,0,3,0,5900,117,0.7821,5,52,3.5893,open
341342,0,1,3,0,968,37,0.6812,7,600,2.1368,open
341349,0,0,3,3,4080,31,0.6586,0,-1,1.9293,open
341387,0,1,3,3,3968,64,0.8131,10,825,4.35,open
341428,0,1,3,3,3968,65,0.8148,11,41,4.4,open
341480,0,1,3,3,3968,66,0.8165,12,52,4.45,open
341616,0,1,1,0,7754,39,0.6286,0,-1,1.6923,open
341629,0,0,3,0,5900,113,0.7829,6,570,3.6071,open
341676,0,0,3,0,5900,114,0.7838,7,47,3.625,open
341779,0,1,1,0,7754,40,0.6297,1,163,1.7009,closed
341834,0,1,3,0,968,38,0.6821,8,492,2.1453,open
341847,0,0,3,0,5900,125,0.7846,8,171,3.6429,open
341887,0,0,3,0,5900,126,0.7854,9,40,3.6607,open
342022,0,0,1,2,6769,104,0.6335,0,-1,1.7286,open
342032,0,0,3,0,5900,111,0.7863,10,145,3.6786,open
342103,0,0,3,0,5900,112,0.7871,11,71,3.6964,open
342202,0,0,1,2,6769,105,0.6345,1,180,1.7357,closed
342269,0,0,3,0,5900,110,0.7879,12,166,3.7143,open
342423,0,1,3,0,968,39,0.6829,9,589,2.1538,open
342604,0,1,1,2,7476,126,0.7624,0,-1,3.2093,open
342616,0,0,3,0,5900,124,0.7887,13,347,3.7321,open
342820,0,0,3,0,5900,127,0.7895,14,204,3.75,open
342968,0,1,3,0,968,40,0.6838,10,545,2.1624,open
